Detector Name,Descriptor Name,camera-based estimated TTC(s)
AKAZE,SIFT, 16.0097
AKAZE,SIFT, 11.5589
AKAZE,SIFT, 16.413
AKAZE,SIFT, 18.8198
AKAZE,SIFT, 20.6737
AKAZE,SIFT, 10.1735
AKAZE,SIFT, 19.3898
AKAZE,SIFT, 12.1118
AKAZE,SIFT, -0.17454
AKAZE,SIFT, 8.15001
,,
SIFT,BRISK, -0.176378
SIFT,BRISK, -0.200491
SIFT,BRISK, -0.204853
SIFT,BRISK, -0.332112
SIFT,BRISK, -0.217259
SIFT,BRISK, -0.171251
SIFT,BRISK, -0.162085
SIFT,BRISK, -0.648644
SIFT,BRISK, -0.172944
SIFT,BRISK, -0.260921
SIFT,BRISK, -0.136183
SIFT,BRISK, -0.145571
SIFT,BRISK, -0.322596
SIFT,BRISK, -0.169054
SIFT,BRISK, -0.151533
SIFT,BRISK, -0.176561
SIFT,BRISK, -0.145197
SIFT,BRISK, -0.207014
,,
SIFT,BRIEF, -0.166358
SIFT,BRIEF, -0.186372
SIFT,BRIEF, -0.183247
SIFT,BRIEF, -0.236304
SIFT,BRIEF, -0.13199
SIFT,BRIEF, -0.262335
SIFT,BRIEF, -0.120853
SIFT,BRIEF, -0.213105
SIFT,BRIEF, -0.126308
SIFT,BRIEF, -0.197198
SIFT,BRIEF, -0.152252
SIFT,BRIEF, -0.148755
SIFT,BRIEF, 0.484578
SIFT,BRIEF, -0.142533
SIFT,BRIEF, -0.146627
SIFT,BRIEF, -0.208389
SIFT,BRIEF, nan
SIFT,BRIEF, -0.277026
,,
SIFT,FREAK, -0.173276
SIFT,FREAK, -0.219088
SIFT,FREAK, -0.209712
SIFT,FREAK, -0.187869
SIFT,FREAK, -0.12576
SIFT,FREAK, -0.555882
SIFT,FREAK, -0.221943
SIFT,FREAK, -0.287904
SIFT,FREAK, -0.171815
SIFT,FREAK, -0.137589
SIFT,FREAK, -0.132749
SIFT,FREAK, -0.178402
SIFT,FREAK, -0.150641
SIFT,FREAK, -0.152247
SIFT,FREAK, -0.211738
SIFT,FREAK, -0.162949
SIFT,FREAK, -0.120609
SIFT,FREAK, -0.15611
,,
SIFT,SIFT, -0.299992
SIFT,SIFT, -0.204376
SIFT,SIFT, -0.158971
SIFT,SIFT, -0.257109
SIFT,SIFT, -0.229073
SIFT,SIFT, -0.19858
SIFT,SIFT, -0.147813
SIFT,SIFT, -0.187985
SIFT,SIFT, -0.200674
SIFT,SIFT, -0.131918
SIFT,SIFT, -0.205474
SIFT,SIFT, -0.212344
SIFT,SIFT, -0.161125
SIFT,SIFT, -0.157063
SIFT,SIFT, -0.154513
SIFT,SIFT, -0.190007
SIFT,SIFT, -0.153912
SIFT,SIFT, -0.182487

